n° solution;m eau (g);m EtOH (g);m sucre (g);m totale (g);%eau;%EtOH;%sucre;pouvoir rotatoire;Indice de réfraction;densité;
1;15.047;5.091;4.997;25.135;59.865;20.255;19.881;13.20;1.375;1.169;
2;14.042;6.005;5.002;25.049;56.058;23.973;19.969;14.00;1.377;1.157;
3;13.007;6.996;5.000;25.003;52.022;27.981;19.998;13.80;1.379;1.143;
4;12.037;8.013;5.011;25.061;48.031;31.974;19.995;13.05;1.381;1.129;
5;11.101;8.931;4.968;25.000;44.404;35.724;19.872;/;1.382;1.115;
6;10.056;10.042;5.006;25.104;40.057;40.002;19.941;/;1.382;1.102;
7;9.008;11.006;4.993;25.007;36.022;44.012;19.966;/;1.381;1.089;
8;8.028;12.003;5.007;25.038;32.063;47.939;19.998;/;1.383;1.077;
9;10.036;13.003;2.014;25.053;40.059;51.902;8.039;4.85;1.369;0.945;
10;10.022;12.018;3.015;25.055;40.000;47.966;12.034;9.50;1.373;0.992;
11;10.077;10.988;3.998;25.063;40.207;43.842;15.952;/;1.378;1.044;
12;9.995;9.007;6.014;25.016;39.954;36.005;24.041;/;1.389;1.168;
13;9.996;8.009;7.007;25.012;39.965;32.021;28.015;/;1.393;1.241;
14;10.048;7.078;8.004;25.130;39.984;28.166;31.850;/;1.398;1.321;
15;13.023;10.072;2.019;25.114;51.856;40.105;8.039;5.55;1.366;0.974;
16;12.022;10.031;3.002;25.055;47.982;40.036;11.982;8.35;1.371;1.013;
17;11.061;9.979;4.013;25.053;44.150;39.832;16.018;/;1.377;1.057;
18;9.094;10.085;6.084;25.263;35.997;39.920;24.083;/;1.389;1.155;
19;8.037;10.015;6.999;25.051;32.083;39.978;27.939;/;1.394;1.208;
